Participant,ManAB,ManAL,ManLB,ManLL,ManLO,ManRB,ManRL,ManRO,MaxAB,MaxAL,MaxLB,MaxLL,MaxLO,MaxRB,MaxRL,MaxRO
1,1.0717490370794112,0.3278003986056937,0.3990370023514965,0.502503418823582,0.44335362216079444,0.29125104442599675,0.7345891463189441,0.35476193796040634,0.4649195059216812,0.5745348065749035,0.3773984618539364,0.7135956645264943,0.5829866894365796,0.3844814364622982,1.0012504533927695,0.5179247126971236
2,0.46761803626283927,0.4374231936658372,0.48238777203915156,0.4559785931200307,1.436232270486468,0.8800001212783578,0.6220689413066764,2.8944973447404925,0.38320915295060765,0.7703528564886576,0.3700407251981296,1.7949799187142064,3.1622776601683795,0.44930189309582624,0.6108930548017345,2.4998456544743877
3,0.27527087450668125,0.5615708230649986,0.24184904666872195,0.4999223876595485,2.1109056978021954,0.2997142226362255,0.3457213554554161,2.5385910352879693,0.2535199946853085,0.5787327313320272,0.30230680525834797,0.5832016205276529,1.9172864553776787,0.44087790511298597,0.2609238085480156,1.806963573126882
4,0.3368808167654871,0.5540492249466318,0.2842849429278549,0.6633228987048303,2.037106203261262,0.3912669548064316,0.8453614121143483,1.2497010929039993,0.40907180125710296,1.4569969938750356,0.4930480503149688,2.110292238845922,2.7420499618456957,0.31002756624894817,3.162277660168379,0
5,0.6856376910979246,1.153291223634959,0.6691183508045565,1.1044368773145083,1.240082286086538,0.8126480916268131,1.025581551926205,0,0.3262692411954436,1.224185100998915,0.8906788933196536,0.9944741838856799,1.4762711302694005,0.9948619336842762,1.090629078353997,0.8347968918811596
6,1.1578478109379564,2.1081851067789197,0.8301913837993234,0,0.61042460776469,0.3993330153827302,0,1.3020641147197987,0.49526463053915926,3.1622776601683795,0.9068387659776075,0,0.6390462738132529,0.7176304539634447,3.1622776601683795,0.37627103716449317
7,2.2498285257018433,0,0.7207461010986036,0,0,1.1920511844745347,3.162277660168379,0.6876728525305932,0.39739984233139397,0,0.21429467217793666,0,0,0.24882569784442246,0,0
8,0.9809292646374773,0.47332061325088376,0.5671649441677737,0.40291244349652117,0.5680957919887586,0.5517066383458021,0.5799781158870054,0.69912844838,0.6164550200085628,0.5536575922582128,0.39387048603253494,0.5736542492465037,1.6394254327916964,0.6671243097750678,0.6453858312635419,0.9118152944300522
9,0.8386439843790114,0.8596252663959877,0.40019325196599415,0.38160246656536206,1.6730224498167174,0.6351904297753477,0.4143222480729986,1.3687443387802776,0.3355965570668884,1.752770763799443,0.600468217776372,0.6357262381603189,2.2785133890080367,0.5435807245762064,0.49606502531208757,1.4169304306993975
10,0.5436363107791653,0.39404320491977896,0.4738808222916843,0.2631997744676209,0.6797528019459317,0.473071212321134,0.2663987311793265,0.6220077891534588,0.20359177206171933,0.5929704536909162,0.300034091095518,1.2028628320247234,0.5080394135309011,0.6628975076008519,0.7451051965175611,0.5431171154554965
11,0.3732038511842363,2.4817578618890304,0.4598925166637554,1.656023921635898,0.5060129292118328,0.5236644119675002,1.6288367877337566,1.2029420326772176,0.27847571834684515,2.0614696370482584,0.5180278465208629,0,2.181601529971895,0.51909931506976,0,1.18107707716434
12,0.6100737999850645,0.2861528271056219,0.6090044146658117,0.46994740971861365,0.7505407121796769,0.7104983609905708,0.6706364924787198,0.979186878038075,0.36979938461011846,1.0931763301000634,0.3295020204203524,1.7582767509661015,0.9110602958990892,0.46635776597915923,1.7623150691779548,1.0504609050714346
